instance_name,num_customers,num_facilities,fixed_costs,transport_costs_shape,B1_linear_terms,B2_quadratic_terms,B3_cubic_terms,B4_nonlinear_terms,total_terms,degree_distribution,B5_rule1_applications,B5_rule2_applications,B5_variables_fixed_rule1,B5_variables_fixed_rule2,B5_total_variables_fixed,B5_facilities_opened,B5_facilities_closed,B5_facilities_undecided,B5_solved_to_optimality,B5_open_facilities,B5_closed_facilities,B5_undecided_facilities,B5_problem_reduction_percentage,B6_mql_solved_to_optimality,B6_mql_best_objective,B6_mql_total_nodes,B6_mql_branchings,B6_mql_nodes_solved_by_khumawala,B6_mql_max_depth,B6_mql_khumawala_rule1_applications,B6_mql_khumawala_rule2_applications,B7_lba_solved_to_optimality,B7_lba_branchings,B7_lba_khumawala_applications,B7_sba_solved_to_optimality,B7_sba_branchings,B7_sba_khumawala_applications,B7_flba_solved_to_optimality,B7_flba_branchings,B7_flba_khumawala_applications,B7_fsba_solved_to_optimality,B7_fsba_branchings,B7_fsba_khumawala_applications,B7_slba_solved_to_optimality,B7_slba_branchings,B7_slba_khumawala_applications,B7_ssba_solved_to_optimality,B7_ssba_branchings,B7_ssba_khumawala_applications,B7_total_branching_applications,B7_lba_count,B7_sba_count,B7_flba_count,B7_fsba_count,B7_slba_count,B7_ssba_count
Small_Instance,2,3,"[100, 120, 80]","(2, 3)",3,0,0,0,4,"{0: 1, 1: 3}",1,1,2,1,3,1,2,0,True,[2],"[0, 1]",[],100.0,True,103.0,0,0,1,0,0,0,False,0,0,False,0,0,True,0,1,True,0,1,True,0,1,True,0,1,6,1,1,1,1,1,1
Medium_Instance,4,5,"[200, 250, 180, 300, 220]","(4, 5)",5,3,3,6,12,"{0: 1, 1: 5, 2: 3, 3: 3}",1,1,4,1,5,1,4,0,True,[2],"[0, 1, 3, 4]",[],100.0,True,261.0,0,0,1,0,0,0,False,0,0,False,0,0,True,0,1,True,0,1,True,0,1,True,0,1,6,1,1,1,1,1,1
Large_Instance,5,7,"[1000, 1200, 800, 1500, 900, 1100, 1300]","(5, 7)",7,1,1,3,11,"{0: 1, 1: 7, 2: 1, 3: 1, 4: 1}",1,1,6,1,7,1,6,0,True,[2],"[0, 1, 3, 4, 5, 6]",[],100.0,True,1000.0,0,0,1,0,0,0,False,0,0,False,0,0,True,0,1,True,0,1,True,0,1,True,0,1,6,1,1,1,1,1,1
Khumawala_Test,4,4,"[1000, 100, 200, 150]","(4, 4)",4,3,2,5,10,"{0: 1, 1: 4, 2: 3, 3: 2}",1,1,3,1,4,1,3,0,True,[1],"[0, 2, 3]",[],100.0,True,240.0,0,0,1,0,0,0,False,0,0,False,0,0,True,0,1,True,0,1,True,0,1,True,0,1,6,1,1,1,1,1,1
Random_Large,6,8,"[202, 535, 960, 370, 206, 171, 800, 120]","(6, 8)",8,8,7,26,35,"{0: 1, 1: 8, 2: 8, 3: 7, 4: 7, 5: 4}",1,1,6,2,8,2,6,0,True,"[5, 7]","[0, 1, 2, 3, 4, 6]",[],100.0,True,511.0,0,0,1,0,0,0,False,0,0,False,0,0,True,0,1,True,0,1,True,0,1,True,0,1,6,1,1,1,1,1,1
